x1,x2,x3,x4,t
-7.580593,-8.769146,24.133141,-78.237014,2.580000
-7.703645,-8.974771,24.167160,-78.292474,2.590000
-7.834530,-9.179583,24.227152,-78.399627,2.600000
-7.972335,-9.381691,24.313489,-78.559284,2.610000
-8.116046,-9.579042,24.426322,-78.771937,2.620000
-8.264542,-9.769435,24.565549,-79.037697,2.630000
-8.416596,-9.950538,24.730773,-79.356229,2.640000
-8.570866,-10.119912,24.921267,-79.726673,2.650000
-8.725904,-10.275043,25.135938,-80.147564,2.660000
-8.880160,-10.413396,25.373299,-80.616756,2.670000
-9.031989,-10.532460,25.631439,-81.131346,2.680000
-9.179668,-10.629820,25.908015,-81.687607,2.690000
-9.321418,-10.703223,26.200242,-82.280940,2.700000
-9.455421,-10.750659,26.504914,-82.905844,2.710000
-9.579861,-10.770442,26.818422,-83.555918,2.720000
-9.692950,-10.761282,27.136813,-84.223891,2.730000
-9.792971,-10.722367,27.455843,-84.901704,2.740000
-9.878317,-10.653415,27.771071,-85.580620,2.750000
-9.947536,-10.554728,28.077953,-86.251385,2.760000
-9.999373,-10.427218,28.371951,-86.904425,2.770000
-10.032808,-10.272408,28.648658,-87.530081,2.780000
-10.047091,-10.092414,28.903909,-88.118856,2.790000
-10.041775,-9.889899,29.133908,-88.661688,2.800000
-10.016728,-9.668005,29.335319,-89.150211,2.810000
-9.972153,-9.430260,29.505366,-89.576992,2.820000
-9.908581,-9.180472,29.641887,-89.935752,2.830000
-9.826867,-8.922616,29.743386,-90.221526,2.840000
-9.728163,-8.660716,29.809038,-90.430781,2.850000
-9.613894,-8.398726,29.838682,-90.561470,2.860000
-9.485717,-8.140426,29.832787,-90.613030,2.870000
-9.345479,-7.889332,29.792392,-90.586324,2.880000
-9.195171,-7.648622,29.719041,-90.483537,2.890000
-9.036876,-7.421083,29.614701,-90.308031,2.900000
-8.872726,-7.209080,29.481674,-90.064179,2.910000
-8.704854,-7.014543,29.322515,-89.757173,2.920000
-8.535351,-6.838974,29.139948,-89.392840,2.930000
-8.366235,-6.683466,28.936795,-88.977450,2.940000
-8.199414,-6.548737,28.715912,-88.517549,2.950000
-8.036669,-6.435166,28.480133,-88.019800,2.960000
-7.879632,-6.342847,28.232228,-87.490850,2.970000
-7.729776,-6.271626,27.974875,-86.937220,2.980000
-7.588411,-6.221154,27.710633,-86.365218,2.990000
-7.456679,-6.190931,27.441937,-85.780877,3.000000
-7.335562,-6.180342,27.171083,-85.189909,3.010000
-7.225885,-6.188695,26.900238,-84.597677,3.020000
-7.128327,-6.215251,26.631438,-84.009190,3.030000
-7.043429,-6.259244,26.366602,-83.429101,3.040000
-6.971609,-6.319904,26.107536,-82.861719,3.050000
-6.913172,-6.396463,25.855953,-82.311028,3.060000
-6.868319,-6.488169,25.613478,-81.780711,3.070000
-6.837165,-6.594284,25.381664,-81.274175,3.080000
